所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表
/人事管理(#7),员工管理界面检查,管理员/总经理/副总经理登陆,"1.点击人事管理按钮
2.点击员工管理按钮
3.观察布局","1.进入人事管理界面
2.进入员工管理界面
3.与原型图一致",,2,功能测试,功能测试阶段,,,
/人事管理(#7),员工管理区域下拉框检查,管理员/总经理/副总经理登陆,"1.点击人事管理按钮
2.点击员工管理按钮
3.点击区域下拉框","1.进入人事管理界面
2.进入员工管理界面
3.可选择区域",,2,功能测试,功能测试阶段,,,
/人事管理(#7),员工管理部门下拉框检查,管理员/总经理/副总经理登陆,"1.点击人事管理按钮
2.点击员工管理按钮
3.点击部门下拉框","1.进入人事管理界面
2.进入员工管理界面
3.可选择部门",,2,功能测试,功能测试阶段,,,
/人事管理(#7),员工管理状态下拉框检查,管理员/总经理/副总经理登陆,"1.点击人事管理按钮
2.点击员工管理按钮
3.点击状态下拉框","1.进入人事管理界面
2.进入员工管理界面
3.可选择状态",,2,功能测试,功能测试阶段,,,
/人事管理(#7),员工管理区域部门关系检查,管理员/总经理/副总经理登陆,"1.点击人事管理按钮
2.点击员工管理按钮
3.点击区域下拉框选择成都
4.点击部门下拉框","1.进入人事管理界面
2.进入员工管理界面
3.选择成功
4.可选择成都的部门",,2,功能测试,功能测试阶段,,,
/人事管理(#7),员工管理单项全部查询,管理员/总经理/副总经理登陆,"1.点击人事管理按钮
2.点击员工管理按钮
3.区域下拉框选择:全部
部门下拉框选择:全部
状态下拉框选择:全部
姓名输入框输入:
4.点击查询按钮","1.进入人事管理界面
2.进入员工管理界面
3.输入成功
4.显示所有员工信息",,2,功能测试,功能测试阶段,,,
/人事管理(#7),员工管理状态单项查询,管理员/总经理/副总经理登陆,"1.点击人事管理按钮
2.点击员工管理按钮
3.区域下拉框选择:全部
部门下拉框选择:全部
状态下拉框选择:离职
姓名输入框输入:
4.点击查询按钮","1.进入人事管理界面
2.进入员工管理界面
3.输入成功
4.显示所有离职的员工信息",,2,功能测试,功能测试阶段,,,
/人事管理(#7),员工管理组合全部查询,管理员/总经理/副总经理登陆,"1.点击人事管理按钮
2.点击员工管理按钮
3.区域下拉框选择:成都
部门下拉框选择:管理部
状态下拉框选择:在职
姓名输入框输入:
4.点击查询按钮","1.进入人事管理界面
2.进入员工管理界面
3.输入成功
4.4.显示所有成都管理部在职的员工信息",,2,功能测试,功能测试阶段,,,
/人事管理(#7),员工管理单项模糊查询,管理员/总经理/副总经理登陆,"1.点击人事管理按钮
2.点击员工管理按钮
3.区域下拉框选择:全部
部门下拉框选择:全部
状态下拉框选择:全部
姓名输入框输入:刘
5.点击查询按钮","1.进入人事管理界面
2.进入员工管理界面
3.输入成功
4.显示所有姓名中带有刘的员工信息",,2,功能测试,功能测试阶段,,,
/人事管理(#7),员工管理组合模糊查询,管理员/总经理/副总经理登陆,"1.点击人事管理按钮
2.点击员工管理按钮
3.区域下拉框选择:成都
部门下拉框选择:管理部
状态下拉框选择:在职
姓名输入框输入:陈
5.点击查询按钮","1.进入人事管理界面
2.进入员工管理界面
3.输入成功
4.显示所有成都管理部在职的姓名中带有陈的员工信息",,2,功能测试,功能测试阶段,,,
/人事管理(#7),员工管理新增按钮验证,管理员登陆,"1.点击人事管理按钮
2.点击员工管理按钮
3.点击新增按钮","1.进入人事管理界面
2.进入员工管理界面
3.弹出新增员工窗口",,2,功能测试,功能测试阶段,,,
/人事管理(#7),员工管理新增按钮验证,管理员登陆,"1.点击人事管理按钮
2.点击员工管理按钮
3.点击新增按钮
4.区域选择:成都
部门选择:管理部
姓名输入:图灵
工号输入:WNSH123
职位输入:总工程师
性别选择:男
电话输入:12345678910
邮箱输入:123456789@qq.com
QQ输入:123456789
5.点击保存按钮","1.进入人事管理界面
2.进入员工管理界面
3.弹出新增员工窗口
4.输入成功
5.新增成功",,2,功能测试,功能测试阶段,,,
/人事管理(#7),员工管理新增窗口区域下拉框检查,管理员登陆,"1.点击人事管理按钮
2.点击员工管理按钮
3.点击新增按钮
4.点击区域下拉框","1.进入人事管理界面
2.进入员工管理界面
3.弹出新增员工窗口
4.可选择区域",,2,功能测试,功能测试阶段,,,
/人事管理(#7),员工管理新增窗口部门下拉框检查,管理员登陆,"1.点击人事管理按钮
2.点击员工管理按钮
3.点击新增按钮
4.点击部门下拉框","1.进入人事管理界面
2.进入员工管理界面
3.弹出新增员工窗口
4.可选择部门",,2,功能测试,功能测试阶段,,,
/人事管理(#7),员工管理新增窗口状态下拉框检查,管理员登陆,"1.点击人事管理按钮
2.点击员工管理按钮
3.点击新增按钮
4.点击性别下拉框","1.进入人事管理界面
2.进入员工管理界面
3.弹出新增员工窗口
4.可选择性别",,2,功能测试,功能测试阶段,,,
/人事管理(#7),员工管理新增窗口区域部门关系检查,管理员登陆,"1.点击人事管理按钮
2.点击员工管理按钮
3.点击新增按钮
4.点击区域下拉框选择成都
5.点击部门下拉框","1.进入人事管理界面
2.进入员工管理界面
3.弹出新增员工窗口
4.选择成功
5.可选择成都的部门",,2,功能测试,功能测试阶段,,,
