所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表
/企业客户(#8),界面管理,1.登录成功，进入企业客户界面,1.检查企业客户页面布局,1.界面与原型图一致,,2,功能测试,,,,
/企业客户(#8),新增企业客户无权限,"1.使用无新增权限账户登录成功
如：wncd123","1.进入企业客户界面
2.点击“新增企业”按钮
3.输入有效数据
4.点击“添加”按钮",1. 弹框提示：您没有该权限,,2,功能测试,,,,
/企业客户(#8),新增企业客户有权限,"1.使用有新增权限账户登录成功
如：wncd000 管理员","1.进入企业客户界面
2.点击“新增企业”按钮
3.输入有效数据
4.点击“添加”按钮","1. 进入新增企业信息界面
2. 新增成功",,2,功能测试,,,,
/企业客户(#8),新增企业_企业名称为空,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
2.点击“添加”按钮","1.提示：*公司名称不能为空
2.弹框提示：企业名称、地址、联系人、行业、电话不能为空",,2,功能测试,,,,
/企业客户(#8),新增企业_企业名称为中文,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:上海纸飞机穿越黑洞梦想无限公司
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
2.点击“添加”按钮",3.新增成功,,2,功能测试,,,,
/企业客户(#8),新增企业_企业名称为英文,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:sorry
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
2.点击“添加”按钮",1.新增成功,,2,功能测试,,,,
/企业客户(#8),新增企业_企业名称为数字,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:11111
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮","1.提示：*企业名称只能为4-20位的字母或汉字
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
/企业客户(#8),新增企业_企业名称为特殊字符,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:@@@@@
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮","1.提示：*企业名称只能为4-20位的字母或汉字
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
/企业客户(#8),新增企业_企业名称长度过低（长度为4-20）,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:我
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮","1.提示：*企业名称只能为4-20位的字母或汉字
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
/企业客户(#8),新增企业_企业名称长度过长（长度为4-20）,1.使用管理员账户登录成功，进入企业客户界面,"1.点击“新增企业”按钮
2.输入：
企业名称:我（x21）
所属行业:科技
企业地址:上海黄浦江底三千米
联系人:王德发
联系电话:12345678910
邮箱:123456789@163.com
QQ:123456789
3.点击“添加”按钮","1.提示：*企业名称只能为4-20位的字母或汉字
2.弹框提示:输入格式错误，请重新添加",,2,功能测试,,,,
