所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表
/后台管理(#12),保存姓名,,"点击设置
角色名:张三
返回菜单管理查看数据
",保存成功,,3,功能测试,,,,
/后台管理(#12),保存描述点,,"点击设置
描述点:张三
返回菜单管理查看数据",保存成功,,3,功能测试,,,,
/后台管理(#12),保存描述点和角色名,,"点击设置
角色名:张三
描述点:张三
返回菜单管理查看数据",保存成功,,3,功能测试,,,,
/后台管理(#12),查看功能数据,,"点击资源数
选择树状结构
查看每个模块增加资源,编辑资源,删除资源三个功能是否与原图一致",与需求文档一致,,3,功能测试,,,,
/后台管理(#12),资源树新增,,"点击资源数
点击全部
点击增加资源符号+
资源名:测试
资源路径:测试
描述:测试
点击保存",保存成功,,3,功能测试,,,,
/后台管理(#12),资源树编辑,,"点击资源数
点击全部
点击编辑资源按钮
资源名:测试
点击空白处",保存成功,,3,功能测试,,,,
/后台管理(#12),资源树删除,,"点击资源树
点击全部
点击删除按钮
点击弹窗确认按钮

",删除成功,,3,功能测试,,,,
/后台管理(#12),页面显示数量,,"左下角每页数量选择:15
查看页面数据数量
",数量显示正确,,3,功能测试,,,,
/后台管理(#12),页面数量和翻页功能显示,,"每天数量选择:15
页面数据数量发生改变
上一页和下一页的功能的显示",数量显示正确,,3,功能测试,,,,
/后台管理(#12),下一页翻页,,点击下一页,页面跳转,,3,功能测试,,,,
/后台管理(#12),上一页翻页,,点击上一页,页面跳转,,3,功能测试,,,,
/后台管理(#12),数字跳转翻页,,点击数字:2,页面跳转到指定页面,,3,功能测试,,,,
/后台管理(#12),新增角色姓名,,"点击新增按钮
用户名:张三
点击保存
返回角色管理查看数据
",数据新增成功,,3,功能测试,,,,
/后台管理(#12),新增角色描述点,,"点击设置
描述点:张三
点击保存
返回角色管理查看数据",数据新增成功,,3,功能测试,,,,
/后台管理(#12),新增角色姓名和描述点,,"点击设置
角色名:张三
描述点:张三
点击保存
返回角色管理查看数据",数据新增成功,,3,功能测试,,,,
/后台管理(#12),角色管理页面,,"点击角色管理
对比需求文档原图是否一致
",与需求文档一致,,3,功能测试,,,,
/后台管理(#12),授权添加描述,,"点击角色管理，
点击授权，
添加描述:张三
勾选权限:全部
点击保存",保存成功,,3,功能测试,,,,
/后台管理(#12),授权描述功能,,"点击角色管理，
点击授权
点击全部编辑按钮
输入:xxx
点击保存",保存成功,,3,功能测试,,,,
/后台管理(#12),授权删除功能,,"点击角色管理，
点击授权
点击就业管理删除按钮
点击弹窗确认按钮
",页面自动刷新数据删除成功,,3,功能测试,,,,
/后台管理(#12),修改数据角色名好描述,,"点击角色管理
点击修改
角色名:张三
描述:测试
点击保存
返回角色管理查看数据",数据更新成功,,3,功能测试,,,,
/后台管理(#12),修改数据角色名,,"点击角色管理
点击修改
角色名:张三
点击保存
返回角色管理查看数据",数据更新成功,,3,功能测试,,,,
/后台管理(#12),修改数据描述点,,"点击角色管理
点击修改
描述:测试
点击保存
返回角色管理查看数据",数据更新成功,,3,功能测试,,,,
/后台管理(#12),页面数据更新,,"左下角每页数量选择:15
查看页面数据数量
",数量显示正确,,3,功能测试,,,,
/后台管理(#12),页面数量更新和显示翻页功能,,"每天数量选择:15
页面数据数量发生改变
上一页和下一页的功能的显示",数量显示正确,,3,功能测试,,,,
/后台管理(#12),点击下一页翻页功能,,点击下一页,页面跳转,,3,功能测试,,,,
/后台管理(#12),点击上一页翻页功能,,点击上一页,页面跳转,,3,功能测试,,,,
/后台管理(#12),点击数字翻页功能,,点击数字:2,页面跳转到指定页面,,3,功能测试,,,,
/后台管理(#12),查看页面数据数量,,查看当前页面数量,与上述数量一致,,3,功能测试,,,,
/后台管理(#12),查询已存在用户名,,"输入用户名:邓强
点击查询
",显示查询到的数据,,3,功能测试,,,,
/后台管理(#12),查询不存在用户名,,"输入用户名:测试
点击查询
",不显示数据,,3,功能测试,,,,
/后台管理(#12),保存姓名,,"点击设置
角色名:测试
点击保存",保存成功,,3,功能测试,,,,
/后台管理(#12),保存角色名,,"点击设置
描述:测试
点击保存",保存成功,,3,功能测试,,,,
/后台管理(#12),保存描述点和角色名,,"点击设置
角色名:测试
描述:测试
点击保存",保存成功,,3,功能测试,,,,
/后台管理(#12),底部数据显示,,查看当前页面数据数,与当前页面数量一致,,3,功能测试,,,,
/后台管理(#12),页面数据,,查看页面数据,与需求文档一致,,3,功能测试,,,,
/后台管理(#12),新增数据,,"点击字典界面
点击数据新增按钮
字典标签:测试
字典键值:测试
序号:001
备注:测试
点击保存",保存成功,,3,功能测试,,,,
/后台管理(#12),字典资源状态启用,,"点击字典管理
选择资源状态模块
点击启用
点击弹窗确认按钮",保存成功,,3,功能测试,,,,
/后台管理(#12),字典资源状态停用,,"点击字典管理
选择资源状态模块
点击停用
点击弹窗确认按钮
",保存成功,,3,功能测试,,,,
/后台管理(#12),字典详情数据,,"点击字典管理
点击详情
查看与原型图是否一致",与需求文档一致,,3,功能测试,,,,
/后台管理(#12),字典详情编辑,,"点击字典管理
点击详情
点击新入库编辑
序号:1000
点击保存",数据保存成功,,3,功能测试,,,,
/后台管理(#12),字典详情停用,,"点击字典管理
点击详情
点击停用
弹出确认窗口
点击确认",功能停用成功,,3,功能测试,,,,
