所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表
/培训资源(#4),资源库下拉框数据显示,管理员\总经理\副总经理\咨询主管\咨询师登录成功,1.点击资源池下拉框,与需求文档对应,,2,功能测试,,,,
/培训资源(#4),咨询师下拉框数据显示,管理员\总经理\副总经理\咨询主管\咨询师登录成功,1.点击咨询师下拉框,与需求文档对应,,2,功能测试,,,,
/培训资源(#4),状态下拉框数据显示,管理员\总经理\副总经理\咨询主管\咨询师登录成功,1.点击状态下拉框,与需求文档对应,,2,功能测试,,,,
/培训资源(#4),来源下拉框数据显示,管理员\总经理\副总经理\咨询主管\咨询师登录成功,1.点击来源池下拉框,与需求文档对应,,2,功能测试,,,,
/培训资源(#4),资源库数据查询,管理员\总经理\副总经理\咨询主管\咨询师登录成功,"1.选择资源库任意数据,其余功能为默认
",显示资源库查询到当前数据,,2,功能测试,,,,
/培训资源(#4),咨询师数据查询,管理员\总经理\副总经理\咨询主管\咨询师登录成功,"1.选择咨询师任意数据,其余功能为默认
",显示咨询师查询到的当前数据,,2,功能测试,,,,
/培训资源(#4),状态数据查询,管理员\总经理\副总经理\咨询主管\咨询师登录成功,"1.选择状态任意数据,其余功能为默认
",显示状态查询到的当前数据,,2,功能测试,,,,
/培训资源(#4),来源数据查询,管理员\总经理\副总经理\咨询主管\咨询师登录成功,"1.选择来源任意数据,其余功能为默认
",显示来源查询到的当前数据,,2,功能测试,,,,
/培训资源(#4),错误的分配时间查询,管理员\总经理\副总经理\咨询主管\咨询师登录成功,"1.选择分配时间数据2020-03-14
结束时间2015-07017

","弹窗提示输入时间有误,请重新输入",,2,功能测试,,,,
/培训资源(#4),正确的分配时间库数据查询,管理员\总经理\副总经理\咨询主管\咨询师登录成功,"1.选择分配时间数据2015-07-17
结束时间2020-03-14

",显示分配时间查询到当前的数据,,2,功能测试,,,,
/培训资源(#4),输入已存在的数据查询,管理员\总经理\副总经理\咨询主管\咨询师登录成功,"1.输入马阳或者18681873872,点击查询",显示输入查询到当前的数据,,2,功能测试,,,,
/培训资源(#4),输入不存在的数据查询,管理员\总经理\副总经理\咨询主管\咨询师登录成功,"1.输入aa或者18682,点击查询","弹窗提示输入的信息有误,请重新输入",,2,功能测试,,,,
/培训资源(#4),"资源库,状态数据查询",管理员\总经理\副总经理\咨询主管\咨询师登录成功,"1.选择资源库,状态任意数据,其余功能为默认",显示查询到的数据,,2,功能测试,,,,
/培训资源(#4),"资源库,来源数据查询",管理员\总经理\副总经理\咨询主管\咨询师登录成功,"1.选择资源库,来源任意数据,其余功能为默认",显示查询到的数据,,2,功能测试,,,,
/培训资源(#4),"资源库,分配时间数据查询",管理员\总经理\副总经理\咨询主管\咨询师登录成功,"1.选择资源库,分配时间任意数据,其余功能为默认",显示查询到的数据,,2,功能测试,,,,
/培训资源(#4),"资源库,输入数据查询",管理员\总经理\副总经理\咨询主管\咨询师登录成功,"1.选择学生池任意数据,输入已存在的数据马阳,其余功能为默认",显示查询到的数据,,2,功能测试,,,,
/培训资源(#4),"咨询师,状态数据查询",管理员\总经理\副总经理\咨询主管\咨询师登录成功,"1.选择咨询师,状态任意数据,其余功能为默认",显示查询到的数据,,2,功能测试,,,,
/培训资源(#4),"咨询师,来源数据查询",管理员\总经理\副总经理\咨询主管\咨询师登录成功,"1.选择资源库,来源任意数据,其余功能为默认",显示查询到的数据,,2,功能测试,,,,
/培训资源(#4),"状态,来源数据查询",管理员\总经理\副总经理\咨询主管\咨询师登录成功,"1.选择状态,来源任意数据,其余功能为默认",显示查询到的数据,,2,功能测试,,,,
/培训资源(#4),"状态,分配时间数据查询",管理员\总经理\副总经理\咨询主管\咨询师登录成功,"1.选择资源库任意数据,分配时间为2015-07-17其余功能为默认",显示查询到的数据,,2,功能测试,,,,
/培训资源(#4),"状态,输入数据查询",管理员\总经理\副总经理\咨询主管\咨询师登录成功,"1.选择状态为已报名输入数据马阳
",显示查询到的数据,,2,功能测试,,,,
/培训资源(#4),"来源,分配时间数据查询",管理员\总经理\副总经理\咨询主管\咨询师登录成功,"选择来源任意数据,分配时间为2015-07-17,其余功能为默认
",显示查询到的数据,,2,功能测试,,,,
/培训资源(#4),"来源,输入已存在数据查询",管理员\总经理\副总经理\咨询主管\咨询师登录成功,"选择开源为专属,输入数据马阳 ",显示查询到的数据,,2,功能测试,,,,
/培训资源(#4),"来源,输入不存在数据查询",管理员\总经理\副总经理\咨询主管\咨询师登录成功,"选择开源为专属,输入数据马","弹窗提示输入的信息有误,请重新输入",,2,功能测试,,,,
/培训资源(#4), 查看简历,管理员\总经理\副总经理\咨询主管\咨询师登录成功,"点击跟踪按钮,查看简历",与需求文档对应,,2,功能测试,,,,
/培训资源(#4),跟踪数据选择已报名,管理员\总经理\副总经理\咨询主管\咨询师登录成功,"1.点击跟踪按钮
2.点击跟踪资源
3.本次状态选择:为已报名
4.选择应缴学费:18800
5.优先级别高
6.下次跟踪选择:2020-03-15
7.跟踪内容为:xxx
8.点击保存
9.点击保存
10.点击导航栏学员管理
11.输入姓名查询数据",在学员管理中查询到此学生,,2,功能测试,,,,
/培训资源(#4),本次状态栏为空,管理员\总经理\副总经理\咨询主管\咨询师登录成功,"本次状态为:
选择默认值为:低
下次跟踪时间为:2020-03-15
跟踪内容为:xxx
点击保存",提示本次状态不能为空,,2,功能测试,,,,
/培训资源(#4),跟踪内容为空,管理员\总经理\副总经理\咨询主管\咨询师登录成功,"本次状态为:已预约
选择默认值为:低
下次跟踪时间为:2020-03-15
跟踪内容为:
点击保存",提示跟踪内容不能为空,,2,功能测试,,,,
/培训资源(#4),跟踪资源保存成功,管理员\总经理\副总经理\咨询主管\咨询师登录成功,"本次状态为:已预约
选择默认值为:低
下次跟踪时间为:2020-03-15
跟踪内容为:xxx
点击保存",保存成功,,2,功能测试,,,,
/培训资源(#4),跟踪记录更新完成,管理员\总经理\副总经理\咨询主管\咨询师登录成功,"本次状态为:已预约
选择默认值为:低
下次跟踪时间为:2020-03-15
跟踪内容为:xxx
点击保存
返回培训资源选择个人池
点击跟踪查看跟踪记录",跟踪记录添加完成,,2,功能测试,,,,
/培训资源(#4),数据修改完成,管理员\总经理\副总经理\咨询主管\咨询师登录成功,"点击修改
修改邮箱为1@qq.com
点击保存
点击修改查看数据",数据修改成功,,2,功能测试,,,,
/培训资源(#4),不输入学生电话和姓名,管理员\总经理\副总经理\咨询主管\咨询师登录成功,"点击修改
删除学生电话和姓名
点击保存
点击修改查看数据",提示学生姓名和电话不能为空,,2,功能测试,,,,
/培训资源(#4),"修改本次状态为报名,学员管理中查询",管理员\总经理\副总经理\咨询主管\咨询师登录成功,"点击修改
最新状态改为已报名
其他信息未默认
点击保存
进入学员管理通过姓名查询该学生",在学员管理中查询到此学生,,2,功能测试,,,,
/培训资源(#4),新增学生信息,管理员\总经理\副总经理\咨询主管\咨询师登录成功,"点击新增按钮
电话输入:13444444444444
最新状态为:在投递
学习:xxx
求职意向:xxx
渠道来源选择任意值
姓名:哈哈哈
邮箱:1@qq.com
学历选择任意值
工作年限:应届毕业生
应聘职位:IT
性别选择任意值
qq:1
专业:IT
期望薪水:10000
年龄:24
教育经历:xxx
工作经历:IT
最后跟踪:xxxx
返回培训资源个人池查看数据

",数据添加成功,,2,功能测试,,,,
/培训资源(#4),"不输入学生电话,姓名,最新状态,渠道来源",管理员\总经理\副总经理\咨询主管\咨询师登录成功,"电话:
姓名:
最新状态:
渠道来源:
其他为默认点击保存","提示电话,姓名,最新状态,渠道来源不能为空",,2,功能测试,,,,
