所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表
/报表中心(#3),咨询部界面检查,管理员/总经理/副总经理登陆,"1.点击报表中心按钮
2.点击咨询部按钮
3.观察布局","1.进入报表中心界面
2.进入咨询部界面
3.与原型图一致",,2,功能测试,,,,
/报表中心(#3),咨询部当期按钮检查,管理员/总经理/副总经理登陆,"1.点击报表中心按钮
2.点击咨询部按钮
3.点击当期按钮","1.进入报表中心界面
2.进入咨询部界面
3.显示当期数据",,2,功能测试,,,,
/报表中心(#3),咨询部今日按钮检查,管理员/总经理/副总经理登陆,"1.点击报表中心按钮
2.点击咨询部按钮
3.点击今日按钮","1.进入报表中心界面
2.进入咨询部界面
3.显示今日数据",,2,功能测试,,,,
/报表中心(#3),咨询部本周按钮检查,管理员/总经理/副总经理登陆,"1.点击报表中心按钮
2.点击咨询部按钮
3.点击本周按钮","1.进入报表中心界面
2.进入咨询部界面
3.显示本周数据",,2,功能测试,,,,
/报表中心(#3),咨询部本月按钮检查,管理员/总经理/副总经理登陆,"1.点击报表中心按钮
2.点击咨询部按钮
3.点击本月按钮","1.进入报表中心界面
2.进入咨询部界面
3.显示本月数据",,2,功能测试,,,,
/报表中心(#3),咨询部上周按钮检查,管理员/总经理/副总经理登陆,"1.点击报表中心按钮
2.点击咨询部按钮
3.点击上周按钮","1.进入报表中心界面
2.进入咨询部界面
3.显示上周数据",,2,功能测试,,,,
/报表中心(#3),咨询部上月按钮检查,管理员/总经理/副总经理登陆,"1.点击报表中心按钮
2.点击咨询部按钮
3.点击上月按钮","1.进入报表中心界面
2.进入咨询部界面
3.显示上月数据",,2,功能测试,,,,
/报表中心(#3),咨询部本年按钮检查,管理员/总经理/副总经理登陆,"1.点击报表中心按钮
2.点击咨询部按钮
3.点击本年按钮","1.进入报表中心界面
2.进入咨询部界面
3.显示本年数据",,2,功能测试,,,,
/报表中心(#3),咨询部开始时间输入框检查,管理员/总经理/副总经理登陆,"1.点击报表中心按钮
2.点击咨询部按钮
3.点击开始时间输入框","1.进入报表中心界面
2.进入咨询部界面
3.出现日期选择框",,2,功能测试,,,,
/报表中心(#3),咨询部开始时间输入框默认值检查,管理员/总经理/副总经理登陆,"1.点击报表中心按钮
2.点击咨询部按钮
3.点击开始时间输入框","1.进入报表中心界面
2.进入咨询部界面
3.显示当前日期",,2,功能测试,,,,
/报表中心(#3),咨询部结束时间输入框检查,管理员/总经理/副总经理登陆,"1.点击报表中心按钮
2.点击咨询部按钮
3.点击结束时间输入框","1.进入报表中心界面
2.进入咨询部界面
3.出现日期选择框",,2,功能测试,,,,
/报表中心(#3),咨询部结束时间输入框默认值检查,管理员/总经理/副总经理登陆,"1.点击报表中心按钮
2.点击咨询部按钮
3.点击结束时间输入框","1.进入报表中心界面
2.进入咨询部界面
3.显示当前日期",,2,功能测试,,,,
/报表中心(#3),咨询部时间输入框逻辑检查,管理员/总经理/副总经理登陆,"1.点击报表中心按钮
2.点击咨询部按钮
3.开始时间输入框选择2011-11-11
4.结束时间输入框选择2010-11-11
5.点击搜索按钮","1.进入报表中心界面
2.进入咨询部界面
3.显示2011-11-11
4.显示2010-11-11
5.弹窗提示结束时间不得早于开始时间",,2,功能测试,,,,
