所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表
/就业管理(#6),验证模块界面布局,登录角色为就业老师或讲师,"1.点击就业管理模块；
2.与需求文档中的原型图作对比","1.页面成功跳转到就业管理模块页面；
2.页面布局和原型图一致",,3,界面测试,,,,
/就业管理(#6),验证技术面试默认页面显示,登录角色为就业老师或讲师,"1.进入技术面试模块；
2.验证数据库查询所有转就业状态的学员数量","1.页面默认显示所有转就业状态的学员；
2.页面显示学员数量与数据库查询数量一致",,3,界面测试,,,,
/就业管理(#6),查询技术面试为‘通过’学员的技术面试信息,登录角色为讲师，且状态为已解密,"1. 进入技术面试模块，技术面试下拉框勾选通过；
2. 进入数据库查询所有已通过技术面试的学员信息","1.页面显示所有已通过技术面试的学员；
2. 页面显示信息与数据库查询结果一致",,2,功能测试,,,,
/就业管理(#6),查询技术面试为‘未通过’学员的技术面试信息,登录角色为讲师，且状态为已解密,"1. 进入技术面试模块，技术面试下拉框勾选未通过；
2. 进入数据库查询所有未通过技术面试的学员信息","1.页面显示所有未通过技术面试的学员；
2. 页面显示信息与数据库查询结果一致",,2,功能测试,,,,
/就业管理(#6),"验证阶段测评转就业后技术面试可查询
","1.登录角色为讲师
2.准备一个还未转就业的学员信息","1.讲师在阶段测评对该学员选择转就业；
2.进入就业管理模块查询该学员的具体信息","1.页面提示：‘保存成功’；
2.查询到该学员的具体信息",,2,功能测试,,,,
/就业管理(#6),验证拥有技术面试查询权限的角色账号,准备管理员、总经理、副总经理登录账号,"1.管理员角色登录，进入后台管理将如下账号设置就业管理-技术面试查看权限：管理员、总经理、副总经理账号；
2. 这些账号依次登录，进入技术面试模块，技术面试下拉框勾选未通过；
3. 技术面试下拉框勾选通过","1.设置成功
2.页面显示所有未通过技术面试的学员
3.页面显示所有已通过技术面试的学员",,2,功能测试,,,,
/就业管理(#6),验证技术面试录入功能_面试结果选择通过,登录角色为讲师，且状态为已解密,"1. 进入技术面试模块，技术面试下拉框勾选未通过；
2.选择要进行面试的学生，点击面试按钮；
3.面试结果：通过；
4.提问：若干；评价：可以就业
5.点击保存；
6.再次点击该学生的面试按钮；
7.进入数据库查询该学生的模拟面试记录；
8.技术面试选择“通过”","1.页面显示所有未通过技术面试的学员；
2.进入技术面试页面，具体显示信息和原型图一致；
3.面试结果显示“通过”；
4.显示输入的提问和评价信息；
5.保存成功，切换到技术面试页面；
6.页面的面试记录与填入的信息一致，并显示“显示第 X 到第 Y 条记录，总共 N 条记录”；
7.页面信息与数据库信息一致；
8.页面记录记录中包含该学员信息",,2,功能测试,,,,
/就业管理(#6),验证技术面试录入功能_面试结果选择未通过,登录角色为讲师，且状态为已解密,"1. 进入技术面试模块，技术面试下拉框勾选未通过；
2.选择要进行面试的学生，点击面试按钮；
3.面试结果：未通过；
4.提问：若干；评价：可以就业
5.点击保存；
6.再次点击该学生的面试按钮；
7.进入数据库查询该学生的模拟面试记录；
8.技术面试选择“通过”","1.页面显示所有未通过技术面试的学员；
2.进入技术面试页面，具体显示信息和原型图一致；
3.面试结果显示“未通过”；
4.显示输入的提问和评价信息；
5.保存成功，切换到技术面试页面；
6.页面的面试记录与填入的信息一致，并显示“显示第 X 到第 Y 条记录，总共 N 条记录”；
7.页面信息与数据库信息一致；
8.页面记录记录中包含该学员信息",,2,功能测试,,,,
/就业管理(#6),验证技术面试未通过可继续进行技术面试,"1.登录角色为讲师
2.准备一个未通过技术面试学员","1.根据学生姓名查询学生；
2.点击‘面试’按钮","1.正常显示学生信息；
2.可以录入学生的技术面试信息并保存",,2,功能测试,,,,
/就业管理(#6),验证技术面试通过不可继续进行技术面试,"1.登录角色为讲师
2.准备一个通过技术面试学员","1.根据学生姓名查询学生；
2.点击‘面试’按钮","1.正常显示学生信息；
2.不能编辑和保存该学员的技术面试信息",,2,功能测试,,,,
/就业管理(#6),验证技术面试录入功能_评价为空,登录角色为讲师，且状态为已解密,"1. 进入技术面试模块，技术面试下拉框勾选未通过
2.选择要进行面试的学生，点击面试按钮
3.面试结果：未通过
4.提问：若干 评价：为空
5.点击保存
6.点击弹框的确认按钮
7.关闭当前页面，再次点击该学生的面试按钮
8.进入数据库查询该学生的模拟面试记录","1.页面显示所有未通过技术面试的学员
2.进入技术面试页面，具体显示信息和原型图一致
3.面试结果显示“未通过”
4.显示输入的提问和评价信息
5.弹框提示“技能评价不能为空，供就业老师参考”
6.鼠标切换到技术面试页面的评价框
7.面试记录里没有新增记录
8.页面信息与数据库信息一致",,2,功能测试,,,,
/就业管理(#6),验证不拥有技术面试录入权限的角色,登录角色为讲师之外其他角色（管理员除外）,"不同的角色登录，进入就业管理模块，
进行计数面试结果的录入",页面提示：‘该角色没有该权限’,,2,功能测试,,,,
/就业管理(#6),根据班级查询学生就业信息,登录角色为就业老师，且状态为已解密,"1.进入就业管理
班级：全部
方向：全部
姓名：
学号：
点击搜索
2.进入数据库查找转就业&技术面试通过的学员信息","1.页面显示学员信息
2.页面显示信息与数据库信息一致",,2,功能测试,,,,
/就业管理(#6),根据方向查询学生就业信息,登录角色为就业老师，且状态为已解密,"1.进入就业管理
班级：全部
方向：XXX(XXX为班级下拉框最后一个)
姓名：
学号：
点击搜索
2.进入数据库查找转就业&技术面试通过方向为XXX的学员信息","1.页面显示学员信息
2.页面显示信息与数据库信息一致",,2,功能测试,,,,
/就业管理(#6),根据姓名查询学生就业信息,登录角色为就业老师，且状态为已解密,"1.进入就业管理
班级：全部
方向：全部
姓名：XX
学号：
点击搜索
2.进入数据库查找转就业&技术面试通过姓名为XX的学员信息","1.页面显示学员信息
2.页面显示信息与数据库信息一致",,2,功能测试,,,,
/就业管理(#6),根据学号查询学生就业信息,登录角色为就业老师，且状态为已解密,"1.进入就业管理
班级：全部
方向：全部
姓名：
学号：XXX
点击搜索
2.进入数据库查找转就业&技术面试通过学号为XXX的学员信息","1.页面显示学员信息
2.页面显示信息与数据库信息一致",,2,功能测试,,,,
/就业管理(#6),根据班级和方向组合查询学生就业信息,登录角色为就业老师，且状态为已解密,"1.进入就业管理
班级：X
方向：Y
姓名：
学号：
点击搜索
2.进入数据库查找转就业&技术面试通过班级为X方向为Y的学员信息","1.页面显示学员信息
2.页面显示信息与数据库信息一致",,2,功能测试,,,,
/就业管理(#6),验证学员技术面试通过后就业管理模块可查询到该学员信息,"1.登录角色为讲师，且状态为已解密
2.准备一个技术面试未通过的学员信息","1.根据学生姓名查找学生就业信息
2.点击‘面试’按钮，验证学生技术面试结果","1.学生信息出现在查询列表中
2.该学生的技术面试结果为通过",,2,功能测试,,,,
/就业管理(#6),验证“其他”选项的提交功能,登录角色为就业老师，且状态为已解密,"1.选择一个学员信息，勾选“电脑回收”
2.点击提交
3.进入数据库查询该学员信息","1.勾选成功
2.弹框提示“提交修改成功”
3.“其他”信息已更新为“电脑回收”",,2,功能测试,,,,
/就业管理(#6),验证“其他”选项的提交功能,登录角色为就业老师，且状态为已解密,"1.选择一个学员信息，勾选“电脑回收，协议签署，已入职”
2.点击提交
3.进入数据库查询该学员信息","1.勾选成功
2.弹框提示“提交修改成功”
3.“其他”信息已更新为“电脑回收，协议签署，已入职”",,2,功能测试,,,,
/就业管理(#6),验证“其他”选项的修改功能,登录角色为就业老师，且状态为已解密,"1.选择一个学员信息，将依据勾选的“已入职”信息取消勾选
2.点击提交
3.进入数据库查询该学员信息","1.取消勾选成功
2.弹框提示“提交修改成功”
3.“其他”信息已不存在“已入职”",,2,功能测试,,,,
/就业管理(#6),验证期望薪资输入为整数,登录角色为就业老师，且状态为已解密,"1.选择一个学员模拟面试未通过的信息，点击“面试”
2.期望薪资：6000
沟通能力：优
评价：好
点击“保存”
3.再次点击“面试”按钮
4.进入数据库查看该学员的模拟面试记录","1.进入此学生的面试模块，分为三项：模拟面试、真实面试、入职情况，并显示技术评价信息及推荐面试时间
2.保存成功，切换回就业管理页面
3.页面显示该学员的面试记录，包含刚刚记录的那一条信息
4.数据库信息与页面信息一致",,2,功能测试,,,,
/就业管理(#6),验证期望薪资输入为浮点数,登录角色为就业老师，且状态为已解密,"1.选择一个学员模拟面试未通过的信息，点击“面试”
2.期望薪资：6000.55
沟通能力：优
评价：好
点击“保存”
3.进入数据库查看该学员的模拟面试记录","1.进入此学生的面试模块，分为三项：模拟面试、真实面试、入职情况，并显示技术评价信息及推荐面试时间
2.保存失败，弹框提示“期望薪资输入格式有误”
3.数据库没有新增记录",,2,功能测试,,,,
/就业管理(#6),验证期望薪资输入为无效数据,登录角色为就业老师，且状态为已解密,"1.选择一个学员模拟面试未通过的信息，点击“面试”
2.期望薪资：（空，英文，中文，特殊字符依次验证）
沟通能力：优
评价：好
点击“保存”
3.进入数据库查看该学员的模拟面试记录","1.进入此学生的面试模块，分为三项：模拟面试、真实面试、入职情况，并显示技术评价信息及推荐面试时间
2.保存失败，弹框提示“期望薪资输入格式有误”
3.数据库没有新增记录",,2,功能测试,,,,
/就业管理(#6),验证沟通能力下拉框,"1.登录角色为讲师，且状态为已解密
2.准备一个模拟面试未通过的学员信息","1.期望薪资：3000
沟通能力：差
评价：好
点击“保存”
2.再次点击“面试”按钮
3.进入数据库查看该学员的模拟面试记录","1.保存成功，切换回就业管理页面
2.页面显示该学员的面试记录，包含刚刚记录的那一条信息
3.数据库信息与页面信息一致",,2,功能测试,,,,
/就业管理(#6),验证备注输入格式为空,"1.登录角色为讲师，且状态为已解密
2.准备一个模拟面试未通过的学员信息","1.期望薪资：3000
沟通能力：差
评价：
点击“保存”
2.进入数据库查看该学员的模拟面试记录","1.保存失败，弹框提示“备注不能为空”
2.数据库没有新增记录",,2,功能测试,,,,
/就业管理(#6),"验证技术面试通过时间与
模拟面试页面显示的推荐时间一致",登录角色为就业老师，且状态为已解密,1.点击技术面试的面试按钮，查询通过时的时间，再进入就业管理进入模拟面试页面，查看推荐时间，对比两个时间,1.时间一致,,2,功能测试,,,,
/就业管理(#6),验证真实面试记录录入功能,登录角色为就业老师，且状态为已解密,"1.进入真实面试页面，
企业名称：凡客诚品（北京）科技有限公司
面试岗位：Java工程师
面试时间：2020/3/16
反馈：good
点击保存
2.再次点击“面试”按钮
3.进入数据库查看该学员的模拟面试记录","1.保存成功，切换回就业管理页面
2.页面显示该学员的面试记录，包含刚刚记录的那一条信息
3.数据库信息与页面信息一致",,2,功能测试,,,,
/就业管理(#6),验证真实面试记录录入面试时间为空,登录角色为就业老师，且状态为已解密,"1.进入真实面试页面，
企业名称：凡客诚品（北京）科技有限公司
面试岗位：Java工程师
面试时间：
反馈：good
点击保存
2.进入数据库查看该学员的真实面试记录","1.保存失败，弹框提示“面试时间不能为空”
2.数据库没有新增记录",,2,功能测试,,,,
/就业管理(#6),验证真实面试记录录入反馈为空,登录角色为就业老师，且状态为已解密,"1.进入真实面试页面，
企业名称：凡客诚品（北京）科技有限公司
面试岗位：Java工程师
面试时间：2020/3/16
反馈：
点击保存
2.进入数据库查看该学员的真实面试记录","1.保存失败，弹框提示“面试时间不能为空”
2.数据库没有新增记录",,2,功能测试,,,,
/就业管理(#6),验证入职情况录入功能,登录角色为就业老师，且状态为已解密,"1.进入入职情况页面，
企业名称：东软集团股份有限公司
面试岗位：其他岗位
入职时间：2020/3/16
薪资：12000
备注：无
点击保存
2.再次点击“面试”按钮
3.进入数据库查看该学员的模拟面试记录","1.保存成功，切换回就业管理页面
2.页面显示该学员的面试记录，包含刚刚记录的那一条信息
3.数据库信息与页面信息一致",,2,功能测试,,,,
/就业管理(#6),验证入职情况录入入职时间为空,登录角色为就业老师，且状态为已解密,"1.进入入职情况页面，
企业名称：东软集团股份有限公司
面试岗位：其他岗位
入职时间：
薪资：12000
备注：无
点击保存
2.进入数据库查看该学员的模拟面试记录","1.保存失败，弹框提示“入职时间不能为空”
2.数据库没有新增记录",,2,功能测试,,,,
