所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表
/市场营销(#9),搜索功能默认值搜索,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.区域选择全部
2.状态选择全部
3.点击搜索按钮",1.显示所有资源信息,,2,功能测试,,,,
/市场营销(#9),搜索功能按条件搜索,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.区域选择西安
2.状态选择条件不符
3.时间选择2019.3.16-2020.3.16
4.点击搜索按钮",1.显示西安一年内所有条件不符的资源信息,,2,功能测试,,,,
/市场营销(#9),搜索功能按条件搜索,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.区域选择成都
2.状态选择已报名
3.点击搜索按钮",1.显示所有成都已报名学生资源,,2,功能测试,,,,
/市场营销(#9),搜索功能按条件搜索,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.区域选择成都
2.状态选择全部
3.点击搜索按钮",1.显示所有成都的资源信息,,2,功能测试,,,,
/市场营销(#9),搜索功能按条件搜索,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.区域选择重庆
2.状态选择全部
3.入库时间开始时间不填,结束时间为今日
4.点击搜索按钮",1.显示所有重庆的资源信息,,2,功能测试,,,,
/市场营销(#9),上传功能,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击上传专属
2.点击提交","1.跳出上传弹框
2.跳出弹框""请选择上传部门""",,2,功能测试,,,,
/市场营销(#9),上传功能,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击上传专属
2.区域选择成都
3.点击提交
","1.跳出上传弹框
2.
3.跳出弹框""请选择上传文件""",,2,功能测试,,,,
/市场营销(#9),上传功能,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击上传专属
2.区域选择西安
3.部门选择教学部
4.简历文件选择空白excel文档
3.点击提交
","1.跳出上传弹框
2.
3.
4.跳出弹框""上传内容不正确""",,2,功能测试,,,,
/市场营销(#9),上传功能,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击上传专属
2.区域选择重庆
3.部门选择渠道部
4.简历文件选择正确格式的文档
3.点击提交
","1.跳出上传弹框
2.
3.
4.跳出弹框""上传成功""",,2,功能测试,,,,
/市场营销(#9),读取邮箱,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击读取邮箱
2.点击确定","1.跳出提示信息
2.读取成功",,2,功能测试,,,,
/市场营销(#9),新增网络功能_最低要求提交,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码写15900655647
5.点击提交
","1.跳出新增网络弹框
2.
3.
4.
5.跳出弹框""新增成功"",在资源中可以查询到",,2,功能测试,,,,
/市场营销(#9),新增网络功能_手机格式不正确,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码写123
5.点击提交
","1.跳出新增网络弹框
2.
3.
4.提示手机号不正确
5.跳出弹框""新增失败,请输入正确手机号""",,2,功能测试,,,,
/市场营销(#9),新增网络功能_手机格式不正确,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码写abc
5.点击提交
","1.跳出新增网络弹框
2.
3.
4.提示手机号不正确
5.跳出弹框""新增失败,请输入正确手机号""",,2,功能测试,,,,
/市场营销(#9),新增网络功能_手机格式不正确,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码写159//06541354
5.点击提交
","1.跳出新增网络弹框
2.
3.
4.提示手机号不正确
5.跳出弹框""新增失败,请输入正确手机号""",,2,功能测试,,,,
/市场营销(#9),新增网络功能_相同手机号提交,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码写输入已添加的手机号
5.点击提交
","1.跳出新增网络弹框
2.
3.
4.
5.跳出弹框""新增失败,该手机号已存在""

",,2,功能测试,,,,
/市场营销(#9),新增网络功能_姓名影响,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码:未添加过得的正确电话号码
5.姓名:张三
6.点击提交
","1.跳出新增网络弹框
2.
3.
4.
5.
6.跳出弹框""新增成功"",在新增资源中可以查询到
",,2,功能测试,,,,
/市场营销(#9),新增网络功能_性别影响,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码:未添加过得的正确电话号码
5.性别:男
6.点击提交
","1.跳出新增网络弹框
2.
3.
4.
5.
6.跳出弹框""新增成功"",在新增资源中可以查询到
",,2,功能测试,,,,
/市场营销(#9),新增网络功能_最新状态影响,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码:未添加过得的正确电话号码
5.最新状态:已报名
6.点击提交
","1.跳出新增网络弹框
2.
3.
4.
5.
6.跳出弹框""新增成功"",在新增资源中可以查询到
",,2,功能测试,,,,
/市场营销(#9),新增网络功能_邮箱影响,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码:未添加过得的正确电话号码
5.邮箱:123456789@qq.com
6.点击提交
","1.跳出新增网络弹框
2.
3.
4.
5.
6.跳出弹框""新增成功"",在新增资源中可以查询到
",,2,功能测试,,,,
/市场营销(#9),新增网络功能_qq影响,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码:未添加过得的正确电话号码
5.qq:123456789
6.点击提交
","1.跳出新增网络弹框
2.
3.
4.
5.
6.跳出弹框""新增成功"",在新增资源中可以查询到
",,2,功能测试,,,,
/市场营销(#9),新增网络功能_学校影响,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码:未添加过得的正确电话号码
5.学校:上海师范
6.点击提交
","1.跳出新增网络弹框
2.
3.
4.
5.
6.跳出弹框""新增成功"",在新增资源中可以查询到
",,2,功能测试,,,,
/市场营销(#9),新增网络功能_学历影响,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码:未添加过得的正确电话号码
5:学历:本科
6.点击提交
","1.跳出新增网络弹框
2.
3.
4.
5.
6.跳出弹框""新增成功"",在新增资源中可以查询到
",,2,功能测试,,,,
/市场营销(#9),新增网络功能_专业影响,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码:未添加过得的正确电话号码
5:专业:幼师
6.点击提交
","1.跳出新增网络弹框
2.
3.
4.
5.
6.跳出弹框""新增成功"",在新增资源中可以查询到
",,2,功能测试,,,,
/市场营销(#9),新增网络功能_求职意向影响,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码:未添加过得的正确电话号码
5.求职意向:讲师
6.点击提交
","1.跳出新增网络弹框
2.
3.
4.
5.
6.跳出弹框""新增成功"",在新增资源中可以查询到
",,2,功能测试,,,,
/市场营销(#9),新增网络功能_工作年限影响,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码:未添加过得的正确电话号码
5.工作年限3年左右
6.点击提交
","1.跳出新增网络弹框
2.
3.
4.
5.
6.跳出弹框""新增成功"",在新增资源中可以查询到
",,2,功能测试,,,,
/市场营销(#9),新增网络功能_期望薪水影响,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码:未添加过得的正确电话号码
5.期望薪水:20K
6.点击提交
","1.跳出新增网络弹框
2.
3.
4.
5.
6.跳出弹框""新增成功"",在新增资源中可以查询到
",,2,功能测试,,,,
/市场营销(#9),新增网络功能_渠道影响,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码:未添加过得的正确电话号码
5.渠道来源:58同城
6.点击提交
","1.跳出新增网络弹框
2.
3.
4.
5.
6.跳出弹框""新增成功"",在新增资源中可以查询到
",,2,功能测试,,,,
/市场营销(#9),新增网络功能_应聘职业影响,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码:未添加过得的正确电话号码
5.应聘职位:讲师
6点击提交
","1.跳出新增网络弹框
2.
3.
4.
5.
6.跳出弹框""新增成功"",在新增资源中可以查询到
",,2,功能测试,,,,
/市场营销(#9),新增网络功能_年龄影响,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码:未添加过得的正确电话号码
5.年龄:20
6.点击提交
","1.跳出新增网络弹框
2.
3.
4.
5.
6.跳出弹框""新增成功"",在新增资源中可以查询到
",,2,功能测试,,,,
/市场营销(#9),新增网络功能_教育经历影响,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码:未添加过得的正确电话号码
5.教育经历:无经历
6.点击提交
","1.跳出新增网络弹框
2.
3.
4.
5.
6.跳出弹框""新增成功"",在新增资源中可以查询到
",,2,功能测试,,,,
/市场营销(#9),新增网络功能_工作经历影响,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码:未添加过得的正确电话号码
5.工作经历:担任三年讲师工作
6.点击提交
","1.跳出新增网络弹框
2.
3.
4.
5.
6.跳出弹框""新增成功"",在新增资源中可以查询到
",,2,功能测试,,,,
/市场营销(#9),新增网络功能_最后跟踪影响,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码:未添加过得的正确电话号码
5.最后跟踪:无跟踪
6.点击提交
","1.跳出新增网络弹框
2.
3.
4.
5.
6.跳出弹框""新增成功"",在新增资源中可以查询到
",,2,功能测试,,,,
/市场营销(#9),新增网络功能_新增后到资源管理中查询,"1.进入蜗牛boss网页
2.以管理员身份登录
3. 点击市场营销模块","1.点击新增网络按钮
2.区域选择成都
3.部门选择管理
4.电话号码:未添加过得的正确电话号码
5.姓名:张飞
6.点击提交
7.点击培训资源模块
8.点击公共资源池
","1.跳出新增网络弹框
2.
3.
4.
5.
6.跳出弹框""新增成功""
7.跳转培训资源模块
8.显示新添加的张飞的信息
",,2,功能测试,,,,
,,,,,,,,,,,
