所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表
/行政综合(#11),固定资产管理_新增固定资产管理信息无权限,"1.使用无新增权限账户登录成功
如：wncd123","1. 进入行政管理_固定资产管理界面
2. 点击“新增”按钮",1. 弹框提示：您没有该权限,,2,功能测试,,,,
/行政综合(#11),固定资产管理_新增固定资产管理信息有权限,"1.使用有新增权限账户登录成功
如：wncd000 管理员","1. 进入行政管理_固定资产管理界面
2. 点击“新增”按钮",1.进入固定资产管理信息新增界面,,2,功能测试,,,,
/行政综合(#11),固定资产管理_新增固定资产管理信息,1.使用管理员账户登录，进入行政管理_固定资产管理界面,"1. 点击“新增”按钮
2. 名称：X（有效的信息）
3. 型号：X（有效的信息）
4. 编码:X（有效的信息）
5. 采购价：X（有效的信息）
6. 当前归属人：X（有效的信息）
7. 采购时间：X（有效的信息）
8. 备注：X（有效的信息）
9. 点击“保存”按钮",1. 提示：新增成功,,2,功能测试,,,,
/行政综合(#11),固定资产管理_通过区域查询固定资产管理信息,1.使用管理员账户登录，进入行政管理_固定资产管理界面,1.选择区域：成都,1. 页面刷新，自动显示区域为成都的所有固定资产管理信息,,2,功能测试,,,,
/行政综合(#11),固定资产管理_通过部门查询固定资产管理信息,1.使用管理员账户登录，进入行政管理_固定资产管理界面,1.选择部门：管理部,1. 页面刷新，自动显示部门为管理部的所有固定资产管理信息,,2,功能测试,,,,
/行政综合(#11),固定资产管理_通过状态查询固定资产管理信息,1.使用管理员账户登录，进入行政管理_固定资产管理界面,1.选择状态：可使用,1. 页面刷新，自动显示状态为可使用的所有固定资产管理信息,,2,功能测试,,,,
/行政综合(#11),固定资产管理_通过区域+部门查询固定资产管理信息,1.使用管理员账户登录，进入行政管理_固定资产管理界面,"1.选择区域：成都
2.选择部门：管理部",1. 页面刷新，自动显示成都的管理部的所有固定资产管理信息,,2,功能测试,,,,
/行政综合(#11),固定资产管理_通过区域+部门+状态查询固定资产管理信息,1.使用管理员账户登录，进入行政管理_固定资产管理界面,"1.选择区域：成都
2.选择部门：管理部
3.选择状态：可使用",1. 页面刷新，自动显示成都的管理部的状态为可使用的所有固定资产管理信息,,2,功能测试,,,,
/行政综合(#11),固定资产管理_通过固定资产名称查询固定资产管理信息,1.使用管理员账户登录，进入行政管理_固定资产管理界面,"1.输入固定资产名称：x（有效的信息）
2.点击“查询”按钮",1.显示所有名称为x的固定资产信息,,2,功能测试,,,,
/行政综合(#11),固定资产管理_通过固定资产名称模糊查询固定资产管理信息,1.使用管理员账户登录，进入行政管理_固定资产管理界面,"1.输入固定资产名称：x（有效的信息）
2.点击“查询”按钮",1.显示所有名称含有x的固定资产信息,,2,功能测试,,,,
/行政综合(#11),固定资产管理_通过扫描条码查询固定资产管理信息,1.使用管理员账户登录，进入行政管理_固定资产管理界面,"1.扫描/录入条码：x(有效的条码)
2.点击“查询”按钮",1.显示所有条码为x的固定资产信息,,2,功能测试,,,,
