所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表
/登录(#2),登录功能_存在的用户名和对应的密码,N/A,"1. 在用户名输入框中输入用户：WNCD000
2. 在密码输入框中输入密码：woniu123
3.输入正确的图形验证码
4.点击登录按钮",1. 登录成功，进入培训资源模块界面,,1,功能测试,,,,
/登录(#2),登录功能_存在的用户名的全小写和对应的密码,N/A,"1. 在用户名输入框中输入用户：wncd000
2. 在密码输入框中输入密码：woniu123
3.输入正确的图形验证码
4.点击登录按钮",1. 登录成功，进入培训资源模块界面,,1,功能测试,,,,
/登录(#2),登录功能_不存在的用户名和存在的密码,N/A,"1. 在用户名输入框中输入用户：W000
2. 在密码输入框中输入密码：woniu123
3.输入正确的图形验证码
4.点击登录按钮",1. 登录失败，提示用户名或密码错误,,1,功能测试,,,,
/登录(#2),登录功能_存在的用户名和符合规则的错误的密码,N/A,"1. 在用户名输入框中输入用户：WNCD000
2. 在密码输入框中输入密码：woniu1
3.输入正确的图形验证码
4.点击登录按钮",1. 登录失败，提示用户名或密码错误,,1,功能测试,,,,
/登录(#2),登录功能_存在的用户名和不符合规则的密码,N/A,"1. 在用户名输入框中输入用户：WNCD000
2. 在密码输入框中输入密码：##
3.输入正确的图形验证码
4.点击登录按钮",1. 登录失败，提示用户名或密码错误,,1,功能测试,,,,
/登录(#2),登录功能_正确的用户名密码和错误的验证码,N/A,"1. 在用户名输入框中输入用户：WNCD000
2. 在密码输入框中输入密码：woniu123
3.输入错误的图形验证码
4.点击登录按钮",1. 登录失败，提示验证码错误,,1,功能测试,,,,
/登录(#2),登录功能_空的用户名和符合规则的密码,N/A,"1. 在用户名输入框中输入用户：
2. 在密码输入框中输入密码：woniu123
3.输入正确的图形验证码
4.点击登录按钮",1. 登录失败，提示用户名不能为空,,1,功能测试,,,,
/登录(#2),登录功能_存在的用户名和空的密码,N/A,"1. 在用户名输入框中输入用户：WNCD000
2. 在密码输入框中输入密码：
3.输入正确的图形验证码
4.点击登录按钮",1. 登录失败，提示密码不能为空,,1,功能测试,,,,
/登录(#2),登录功能_正确的用户名密码和空的验证码,N/A,"1. 在用户名输入框中输入用户：WNCD000
2. 在密码输入框中输入密码：woniu123
3.输入图形验证码：
4.点击登录按钮",1. 登录失败，提示验证码不能为空,,1,功能测试,,,,
/登录(#2),登录功能_密码以密文显示,N/A,"1. 点击密码输入框
2. 输入密码：woniu123",1. 用户密码以密文方式显示,,1,功能测试,,,,
/登录(#2),登录功能_提示字段的显示,N/A,"1. 查看用户名输入框
2. 查看密码输入框
3. 查看验证码输入框","1. 用户名输入框内显示：请输入用户名
2. 密码输入框内显示：请输入密码
3. 验证码输入框内显示：请输入验证码",,1,功能测试,,,,
/登录(#2),登录功能_验证码全小写,N/A,"1. 在用户名输入框中输入用户：WNCD000
2. 在密码输入框中输入密码：woniu123
3.输入全大写的图形验证码
4.点击登录按钮",1. 登录成功，进入培训资源模块界面,,1,功能测试,,,,
/登录(#2),登录功能_验证码全大写,N/A,"1. 在用户名输入框中输入用户：WNCD000
2. 在密码输入框中输入密码：woniu123
3.输入全小写的图形验证码
4.点击登录按钮",1. 登录成功，进入培训资源模块界面,,1,功能测试,,,,
/登录(#2),登录功能_手动刷新图形验证码,N/A,1. 点击图形验证码图片,1. 图形验证码刷新,,1,功能测试,,,,
/登录(#2),登录功能_自动刷新图形验证码,N/A,"1. 在用户名输入框中输入用户：WNCD000
2. 在密码输入框中输入密码：woniu123
3.输入错误的图形验证码
4.点击登录按钮",1. 图形验证码自动刷新,,1,功能测试,,,,
/登录(#2),系统兼容性_Firefox浏览器,N/A,"1.打开火狐浏览器
2.输入网址http://192.168.18.135:8080/WoniuBoss2.5/",1.系统能正常运行,,1,功能测试,,,,
/登录(#2),系统兼容性_Chrome浏览器,N/A,"1.打开Chrome浏览器
2.输入网址http://192.168.18.135:8080/WoniuBoss2.5/",1.系统能正常运行,,1,功能测试,,,,
/登录(#2),系统兼容性_IE浏览器,N/A,"1.打开IE浏览器
2.输入网址http://192.168.18.135:8080/WoniuBoss2.5/",1.系统能正常运行,,1,功能测试,,,,
/登录(#2),修改密码_不符合规则的新密码,登录成功,"1. 点击密码修改
2. 输入原密码：woniu123
3. 输入新密码：12345678
4. 再次输入新密码：12345678","1. 提示：新密码格式不正确,由8-20位大小写字母和数字组成",,1,功能测试,,,,
/登录(#2),修改密码_错误的原密码,登录成功,"1. 点击密码修改
2. 输入原密码：woniu
3. 输入新密码：12345678
4. 再次输入新密码：12345678",1. 提示：原密码错误，请重新输入.,,1,功能测试,,,,
/登录(#2),修改密码_符合规则的新密码,登录成功,"1. 点击密码修改
2. 输入原密码：woniu123
3. 输入新密码：woniu111
4. 再次输入新密码：woniu111",1. 提示：密码修改成功,,1,功能测试,,,,
/登录(#2),修改密码_再次输入新密码错误,登录成功,"1. 点击密码修改
2. 输入原密码：woniu123
3. 输入新密码：woniu111
4. 再次输入新密码：woniu123",1. 提示：重复输入密码错误，请重新输入.,,1,功能测试,,,,
/登录(#2),注销功能,登录成功,1. 点击“注销”按钮,1. 成功注销，返回登录界面,,1,功能测试,,,,
